"Year","dev_status","count","avg_hdi","avg_gdp","hdi_min","hdi_median","hdi_max","gdp_min","gdp_median","gdp_max"
1990,"Developed",17,0.840588235294118,42803.9099411765,0.811,0.841,0.878,30851.943,42487.688,64588.953
1990,"Developing",120,0.579933333333333,14270.7631745833,0.215,0.618,0.798,547.6228,8185.3113,118163.68
1991,"Developed",18,0.842777777777778,42594.0096666667,0.807,0.8445,0.878,29072.213,41534.9845,63202.56
1991,"Developing",119,0.58063025210084,13835.0159613445,0.219,0.625,0.796,563.5121,7843.1626,118220.69
1992,"Developed",20,0.84375,45117.3507,0.8,0.847,0.882,29085.615,43881.5415,88841.42
1992,"Developing",117,0.579504273504273,12941.4164919658,0.222,0.618,0.794,510.8228,7911.0103,111457.22
1993,"Developed",21,0.847952380952381,44647.4638095238,0.801,0.853,0.884,26991.053,43001.066,91338.95
1993,"Developing",117,0.580632478632479,12785.9852817949,0.228,0.615,0.794,549.04877,7918.1597,107899.13
1994,"Developed",22,0.854363636363636,45421.3786363636,0.805,0.8605,0.89,28254.762,42551.109,93546.27
1994,"Developing",116,0.582870689655172,12720.6036227586,0.233,0.6165,0.798,546.2097,7648.8742,106239.234
1995,"Developed",24,0.853125,45582.4967916667,0.8,0.86,0.888,29327.332,41314.055,93562.46
1995,"Developing",120,0.585458333333333,12268.8441633333,0.238,0.6235,0.792,525.4187,7603.71485,105043.85
1996,"Developed",25,0.8566,45520.65068,0.801,0.863,0.894,21242.283,41270.973,93587.95
1996,"Developing",119,0.589294117647059,12399.6277554622,0.245,0.63,0.796,562.8575,7778.425,102522.125
1997,"Developed",26,0.860192307692308,46398.1898846154,0.803,0.871,0.9,22342.555,42549.447,97431.27
1997,"Developing",118,0.592423728813559,12688.1726847458,0.25,0.632,0.797,612.3715,7920.055,106503.42
1998,"Developed",28,0.862071428571429,46091.8986428571,0.802,0.875,0.908,21044.047,44295.8425,102649.54
1998,"Developing",116,0.594275862068966,12519.7338422414,0.258,0.635,0.798,660.6502,7870.98475,97171.64
1999,"Developed",29,0.865344827586207,47300.1167931035,0.802,0.875,0.913,23291.014,45761.93,109551.66
1999,"Developing",119,0.592588235294118,12043.4451708403,0.263,0.628,0.796,722.30554,7586.6777,99083.32
2000,"Developed",32,0.8680625,49392.83965625,0.801,0.88,0.924,18889.662,47832.5,115588.41
2000,"Developing",134,0.593567164179104,11925.821583806,0.266,0.6285,0.797,711.9764,7558.0154,100323.44
2001,"Developed",35,0.867371428571429,48486.7691142857,0.801,0.876,0.923,19127.988,48036.625,117732.08
2001,"Developing",131,0.595274809160305,11612.8340862595,0.272,0.622,0.798,785.79016,7215.82,99680.766
2002,"Developed",37,0.867945945945946,49464.2361621622,0.8,0.881,0.923,19500.68,48943.543,120262.86
2002,"Developing",130,0.599630769230769,11114.02378,0.278,0.626,0.799,838.298,7105.6494,101571.586
2003,"Developed",41,0.866463414634146,51198.6306829268,0.804,0.866,0.93,20005.139,49381.594,121922.36
2003,"Developing",127,0.600700787401575,9990.68803102362,0.284,0.63,0.799,795.7721,6849.332,67642.52
2004,"Developed",44,0.867068181818182,50920.37025,0.806,0.8695,0.937,19844.684,48789.027,125288.49
2004,"Developing",126,0.603753968253968,10201.4053312698,0.292,0.637,0.798,877.11444,7186.713,72929.56
2005,"Developed",45,0.870377777777778,51418.9850888889,0.804,0.876,0.939,20925.916,49528.996,126449.625
2005,"Developing",135,0.607185185185185,10259.7423022222,0.302,0.642,0.798,918.53485,7452.742,77800.78
2006,"Developed",46,0.873282608695652,52933.4827391304,0.8,0.8795,0.942,21976.297,50457.805,131936.4
2006,"Developing",134,0.612828358208955,10519.0428164179,0.309,0.6465,0.799,938.04114,7936.58615,79121.555
2007,"Developed",50,0.87198,53783.1939,0.8,0.877,0.943,22886.965,51398.221,140435.8
2007,"Developing",131,0.616114503816794,9948.61735145038,0.313,0.649,0.795,951.2901,7802.464,49151.656
2008,"Developed",52,0.873153846153846,52176.0020576923,0.801,0.8755,0.943,20581.59,51087.8125,137533.73
2008,"Developing",130,0.6188,10088.1285038462,0.323,0.6455,0.796,957.22266,7740.79315,50155.836
2009,"Developed",52,0.87475,49366.2503269231,0.8,0.878,0.944,19347.316,48878.375,130637.42
2009,"Developing",129,0.625914728682171,10016.4608367442,0.329,0.653,0.799,944.62994,8138.45,48304.117
2010,"Developed",55,0.874472727272727,49914.4724909091,0.801,0.876,0.947,19839.947,48766.29,133098.05
2010,"Developing",129,0.626503875968992,9620.84741860465,0.339,0.651,0.799,947.6214,8220.52,35423.855
2011,"Developed",58,0.874379310344828,49540.295362069,0.8,0.876,0.949,20458.969,43312.365,145591.02
2011,"Developing",127,0.629456692913386,9468.78182677165,0.346,0.657,0.794,951.1885,7837.493,35045.516
2012,"Developed",58,0.877086206896552,49409.2511034483,0.804,0.878,0.95,19884.969,42335.331,143830.7
2012,"Developing",127,0.635393700787402,9778.47397795276,0.356,0.664,0.799,958.6574,7979.868,37452.94
2013,"Developed",61,0.877918032786885,48573.3720983607,0.802,0.879,0.953,20570.596,41796.285,136454
2013,"Developing",125,0.634432,9395.53640744,0.359,0.655,0.799,970.37537,7440.6626,32894.37
2014,"Developed",64,0.877453125,47697.549265625,0.802,0.874,0.956,14475.313,41827.208,131898.62
2014,"Developing",122,0.635188524590164,9298.93398795082,0.319,0.6535,0.799,977.76587,7242.736,31765.9
2015,"Developed",69,0.874840579710145,46622.3693913043,0.8,0.869,0.959,14936.844,40827.438,131746.33
2015,"Developing",117,0.633059829059829,8808.30155384615,0.374,0.656,0.797,918.5572,6703.741,27797.795
2016,"Developed",70,0.876614285714286,46824.0132857143,0.8,0.8715,0.962,15442.956,41470.04,135355.89
2016,"Developing",116,0.636172413793103,8857.65332456897,0.376,0.653,0.797,897.45905,7001.9407,24435.064
2017,"Developed",70,0.880257142857143,47641.2537571429,0.804,0.878,0.965,16237.624,42926.498,133845.17
2017,"Developing",116,0.639612068965517,9035.39369543103,0.356,0.6585,0.799,880.99347,7328.619,24073.232
2018,"Developed",72,0.881291666666667,47776.5082638889,0.801,0.88,0.966,14918.081,43668.542,132889.08
2018,"Developing",114,0.641535087719298,9032.03554122807,0.391,0.656,0.796,868.5555,6943.64185,22981.803
2019,"Developed",73,0.882917808219178,48098.695630137,0.8,0.88,0.969,15290.777,44419.97,134105.64
2019,"Developing",113,0.643070796460177,9065.35740088496,0.279,0.656,0.796,855.7327,6875.0254,22966.74
2020,"Developed",67,0.884805970149254,47835.3738656716,0.8,0.888,0.969,15749.038,43875.64,130689.5
2020,"Developing",119,0.647394957983193,9042.30716890756,0.386,0.664,0.799,833.9202,7207.8687,25457.08
2021,"Developed",67,0.886238805970149,50882.9017910448,0.8,0.887,0.969,15683.885,46575.69,137947.34
2021,"Developing",119,0.646605042016807,9566.18711764706,0.339,0.671,0.796,836.6656,7441.0693,30826.209
2022,"Developed",71,0.887225352112676,50821.3685492958,0.801,0.893,0.967,17352.854,47238.098,137059.19
2022,"Developing",115,0.65264347826087,9448.59973173913,0.385,0.677,0.799,829.38715,7258.6816,37068.195
2023,"Developed",72,0.890208333333333,49826.6432361111,0.804,0.897,0.972,18244.293,46307.9185,132846.58
2023,"Developing",110,0.649190909090909,9450.35111909091,0.404,0.671,0.799,828.8611,6791.5848,49315.16
