"Entity","Code","Year","hdi","gdp","population_historical","owid_region","dev_status","hdi_band","gdp_band"
"Afghanistan","AFG",2000,0.351,1617.8264,20130279,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2001,0.355,1454.1108,20284252,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2002,0.383,1774.3087,21378081,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2003,0.392,1815.9282,22733007,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2004,0.408,1776.9182,23560598,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2005,0.417,1908.1147,24404520,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2006,0.426,1929.7239,25424050,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2007,0.442,2155.353,25909790,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2008,0.446,2191.5044,26482577,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2009,0.458,2565.022,27466056,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2010,0.465,2848.5862,28284036,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2011,0.474,2757.0525,29347668,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2012,0.484,2985.319,30559988,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2013,0.492,3046.5798,31622662,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2014,0.497,3017.9426,32792472,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2015,0.496,2967.6921,33831716,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2016,0.495,2958.7854,34700565,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2017,0.496,2952.999,35688889,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2018,0.498,2902.392,36742997,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2019,0.507,2927.245,37856071,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2020,0.501,2769.6858,39068933,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2021,0.486,2144.1665,40000360,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2022,0.495,1981.7102,40578801,"Asia","Developing","Low","Lower-middle"
"Afghanistan","AFG",2023,0.496,1992.4244,41454709,"Asia","Developing","Low","Lower-middle"
"Albania","ALB",1990,0.654,5407.3247,3277919,"Europe","Developing","Medium","Upper-middle"
"Albania","ALB",1991,0.638,3916.6973,3282561,"Europe","Developing","Medium","Lower-middle"
"Albania","ALB",1992,0.622,3657.312,3282454,"Europe","Developing","Medium","Lower-middle"
"Albania","ALB",1993,0.624,4031.4531,3277776,"Europe","Developing","Medium","Lower-middle"
"Albania","ALB",1994,0.629,4393.065,3269363,"Europe","Developing","Medium","Upper-middle"
"Albania","ALB",1995,0.638,5009.17,3258518,"Europe","Developing","Medium","Upper-middle"
"Albania","ALB",1996,0.647,5499.0757,3245632,"Europe","Developing","Medium","Upper-middle"
"Albania","ALB",1997,0.645,4929.311,3229610,"Europe","Developing","Medium","Upper-middle"
"Albania","ALB",1998,0.659,5398.408,3210081,"Europe","Developing","Medium","Upper-middle"
"Albania","ALB",1999,0.671,6133.027,3188548,"Europe","Developing","Medium","Upper-middle"
"Albania","ALB",2000,0.682,6600.9785,3166104,"Europe","Developing","Medium","Upper-middle"
"Albania","ALB",2001,0.691,7215.82,3147892,"Europe","Developing","Medium","Upper-middle"
"Albania","ALB",2002,0.697,7565.8213,3134049,"Europe","Developing","Medium","Upper-middle"
"Albania","ALB",2003,0.705,8014.0366,3118038,"Europe","Developing","High","Upper-middle"
"Albania","ALB",2004,0.71,8491.398,3098613,"Europe","Developing","High","Upper-middle"
"Albania","ALB",2005,0.723,9006.646,3076108,"Europe","Developing","High","Upper-middle"
"Albania","ALB",2006,0.732,9598.646,3050754,"Europe","Developing","High","Upper-middle"
"Albania","ALB",2007,0.742,10250.128,3022843,"Europe","Developing","High","Upper-middle"
"Albania","ALB",2008,0.749,11103.7705,2992879,"Europe","Developing","High","Upper-middle"
"Albania","ALB",2009,0.756,11553.821,2961436,"Europe","Developing","High","Upper-middle"
"Albania","ALB",2010,0.769,12041.749,2928681,"Europe","Developing","High","Upper-middle"
"Albania","ALB",2011,0.781,12381.524,2911446,"Europe","Developing","High","Upper-middle"
"Albania","ALB",2012,0.79,12577.756,2909947,"Europe","Developing","High","Upper-middle"
"Albania","ALB",2013,0.793,12727.083,2907512,"Europe","Developing","High","Upper-middle"
"Albania","ALB",2014,0.797,12979.765,2903689,"Europe","Developing","High","Upper-middle"
"Albania","ALB",2015,0.797,13306.443,2898589,"Europe","Developing","High","High-income"
"Albania","ALB",2016,0.797,13769.547,2897815,"Europe","Developing","High","High-income"
"Albania","ALB",2017,0.798,14306.299,2898198,"Europe","Developing","High","High-income"
"Albania","ALB",2018,0.801,14918.081,2894181,"Europe","Developed","Very High","High-income"
"Albania","ALB",2019,0.805,15290.777,2884969,"Europe","Developed","Very High","High-income"
"Albania","ALB",2020,0.794,14869.22,2871900,"Europe","Developing","High","High-income"
"Albania","ALB",2021,0.794,16353.809,2849591,"Europe","Developing","High","High-income"
"Albania","ALB",2022,0.806,17352.854,2827562,"Europe","Developed","Very High","High-income"
"Albania","ALB",2023,0.81,18244.293,2811615,"Europe","Developed","Very High","High-income"
"Algeria","DZA",1990,0.595,11728.546,25375759,"Africa","Developing","Medium","Upper-middle"
"Algeria","DZA",1991,0.596,11314.864,25987891,"Africa","Developing","Medium","Upper-middle"
"Algeria","DZA",1992,0.601,11241.415,26628518,"Africa","Developing","Medium","Upper-middle"
"Algeria","DZA",1993,0.603,10743.706,27276996,"Africa","Developing","Medium","Upper-middle"
"Algeria","DZA",1994,0.603,10414.035,27887227,"Africa","Developing","Medium","Upper-middle"
"Algeria","DZA",1995,0.608,10588.443,28470152,"Africa","Developing","Medium","Upper-middle"
"Algeria","DZA",1996,0.615,10808.879,29032996,"Africa","Developing","Medium","Upper-middle"
"Algeria","DZA",1997,0.624,10725.968,29579249,"Africa","Developing","Medium","Upper-middle"
"Algeria","DZA",1998,0.634,11094.888,30054098,"Africa","Developing","Medium","Upper-middle"
"Algeria","DZA",1999,0.643,11292.037,30474312,"Africa","Developing","Medium","Upper-middle"
"Algeria","DZA",2000,0.651,11558.221,30903850,"Africa","Developing","Medium","Upper-middle"
"Algeria","DZA",2001,0.659,11742.595,31331173,"Africa","Developing","Medium","Upper-middle"
"Algeria","DZA",2002,0.669,12213.126,31750790,"Africa","Developing","Medium","Upper-middle"
"Algeria","DZA",2003,0.677,12835.182,32175762,"Africa","Developing","Medium","Upper-middle"
"Algeria","DZA",2004,0.685,13226.765,32628233,"Africa","Developing","Medium","High-income"
